# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     58     38     41      -      -      -      -      -      -   1512   1410      0      1      0 
    1    177     65     65     43      1      0      0      0      0   1512   1410    529      4      0 
    0     63     37     41      -      -      -      -      -      -   1512   1410      0      1      0 
    1    224     66     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     62     37     41      -      -      -      -      -      -   1512   1410      0      1      0 
    1    221     66     69     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     43     36     39      -      -      -      -      -      -   1512    210      0      1      0 
    1    222     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     43     36     39      -      -      -      -      -      -   1512    210      0      1      0 
    1    221     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     43     35     39      -      -      -      -      -      -   1512    210      0      1      0 
    1    223     64     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     43     35     39      -      -      -      -      -      -   1512    210      0      1      0 
    1    225     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     43     35     39      -      -      -      -      -      -   1512    210      0      1      0 
    1    220     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     35     39      -      -      -      -      -      -   1512    210      0      1      0 
    1    224     64     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     35     39      -      -      -      -      -      -   1512    210      0      1      0 
    1    214     65     67     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     34     39      -      -      -      -      -      -   1512    210      0      1      0 
    1    211     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     43     34     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    219     64     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     34     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    223     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     34     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    222     65     67     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     41     34     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    225     64     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     34     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    224     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     34     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    223     65     67     93     13      0      0      0      0   1512   1410   2100      6      0 
    0     42     34     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    231     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    227     64     67     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    220     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    226     65     67     93     13      0      0      0      0   1512   1410   2100      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    224     64     67     93     13      0      0      0      0   1512   1410   2102      6      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    224     64     67     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    220     65     67     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     41     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    222     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    225     64     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     41     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    223     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    228     65     67     93     13      0      0      0      0   1512   1410   2100      6      0 
    0     41     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    220     64     67     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    216     64     67     93     13      0      0      0      0   1512   1410   2100      6      0 
    0     43     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    226     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    226     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    217     64     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    222     65     67     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    227     65     67     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    224     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    223     64     67     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    223     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    225     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    219     64     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    219     65     67     92     13      0      0      0      0   1512   1410   2102      6      0 
    0     41     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    225     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    219     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     32     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    215     64     67     93     13      0      0      0      0   1512   1410   2102      6      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    223     65     67     93     13      0      0      0      0   1512   1410   2102      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
