# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     68     38     43      2      0      0      0      0      0   1512   1410      0      1      0 
    1    269     69     69     85      8      0      0      0      0   1512   1395    755      4      0 
    0     66     38     43      0      0      0      0      0      0   1512   1410      0      1      0 
    1    288     68     69     98     10      0      0      0      0   1512   1395    755      4      0 
    0     65     37     43      0      0      0      0      0      0   1512   1410      0      1      0 
    1    283     69     69     85      8      0      0      0      0   1512   1380    755      4      0 
    0     45     36     41      0      0      0      0      0      0   1512    210      0      1      0 
    1    307     68     69     95      9      0      0      0      0   1512   1395    755      4      0 
    0     45     36     41      0      0      0      0      0      0   1512    210      0      1      0 
    1    104     69     69     85      8      0      0      0      0   1512   1395    755      4      0 
    0     45     36     41      0      0      0      0      0      0   1512    210      0      1      0 
    1    297     69     69     85      8      0      0      0      0   1512   1380    755      4      0 
    0     45     35     41      0      0      0      0      0      0   1512    210      0      1      0 
    1    300     68     69     95      9      0      0      0      0   1512   1395    755      4      0 
    0     45     35     41      0      0      0      0      0      0   1512    210      0      1      0 
    1    295     69     69     86      8      0      0      0      0   1512   1395    755      4      0 
    0     44     35     41      0      0      0      0      0      0   1512    210      0      1      0 
    1    300     68     69     85      8      0      0      0      0   1512   1395    755      4      0 
    0     44     35     41      0      0      0      0      0      0   1512    210      0      1      0 
    1    184     68     69     85      8      0      0      0      0   1512   1395    755      4      0 
    0     44     34     39      0      0      0      0      0      0   1512    210      0      1      0 
    1    309     69     69     85      8      0      0      0      0   1512   1395    755      4      0 
    0    269     40     45     97     29      0      0      0      0   1512   1410   2057      4      0 
    1    299     69     69     89      9      0      0      0      0   1512   1380    755      4      0 
    0    256     43     47     97     29      0      0      0      0   1512   1410   2051      4      0 
    1    257     67     69     98     10      0      0      0      0   1512   1395    755      4      0 
    0    265     45     49     97     29      0      0      0      0   1512   1410   2057      4      0 
    1    292     69     69     85      8      0      0      0      0   1512   1395    755      4      0 
    0    271     47     51     97     29      0      0      0      0   1512   1410   2051      4      0 
    1    282     69     69     85      8      0      0      0      0   1512   1395    755      4      0 
    0    275     49     53     97     29      0      0      0      0   1512   1410   2057      4      0 
    1    185     67     69     87      8      0      0      0      0   1512   1380    755      4      0 
