# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     73     51     53      0      0      0      0      0      0   1512   1410      0      1      0 
    1     80     58     59      2      0      0      0      0      0   1512   1410      0      1      0 
    0     71     51     53      0      0      0      0      0      0   1512   1410      0      1      0 
    1     78     57     59      0      0      0      0      0      0   1512   1410      0      1      0 
    0     48     50     53      0      0      0      0      0      0   1512    210      0      1      0 
    1     78     57     59      0      0      0      0      0      0   1512   1410      0      1      0 
    0     48     50     53      0      0      0      0      0      0   1512    210      0      1      0 
    1     52     57     59      0      0      0      0      0      0   1512    210      0      1      0 
    0    288     56     59     98     31      0      0      0      0   1512   1410   2245      4      0 
    1     52     57     59      0      0      0      0      0      0   1512    210      0      1      0 
    0    278     58     61     98     31      0      0      0      0   1512   1410   2245      4      0 
    1     52     56     59      0      0      0      0      0      0   1512    210      0      1      0 
    0    278     61     63     98     32      0      0      0      0   1512   1410   2253      4      0 
    1     52     56     59      0      0      0      0      0      0   1512    210      0      1      0 
    0    290     63     65     98     32      0      0      0      0   1512   1410   2245      4      0 
    1     51     56     59      0      0      0      0      0      0   1512    210      0      1      0 
    0    313     64     67     98     31      0      0      0      0   1512   1395   2245      4      0 
    1     51     55     57      0      0      0      0      0      0   1512    210      0      1      0 
    0    298     66     69     98     32      0      0      0      0   1512   1395   2245      4      0 
    1     51     54     57      0      0      0      0      0      0   1512    210      0      1      0 
    0    302     66     69     98     32      0      0      0      0   1512   1395   2245      4      0 
    1     49     53     55      0      0      0      0      0      0   1512    210      0      1      0 
    0    302     66     71     98     31      0      0      0      0   1512   1395   2245      4      0 
    1     49     52     55      0      0      0      0      0      0   1512    210      0      1      0 
    0    303     67     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    1     49     50     53      0      0      0      0      0      0   1512    210      0      1      0 
    0    288     67     71     98     32      0      0      0      0   1512   1395   2245      4      0 
    1     48     49     53      0      0      0      0      0      0   1512    210      0      1      0 
    0    300     68     71     97     32      0      0      0      0   1512   1395   2253      4      0 
    1    272     54     57     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    288     68     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    1    266     56     59     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    288     68     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    1    271     57     59     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    280     68     71     98     31      0      0      0      0   1512   1395   2253      4      0 
    1    265     58     61     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    287     68     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    267     59     61     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    296     69     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    282     60     63     97     28      0      0      0      0   1512   1410   1913      4      0 
    0    308     69     73     97     32      0      0      0      0   1512   1395   2245      4      0 
    1    277     61     63     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    288     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    265     61     65     96     28      0      0      0      0   1512   1410   1919      4      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    306     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    273     62     65     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    304     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    285     63     65     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    306     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    285     63     65     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    306     70     73     97     31      0      0      0      0   1512   1395   2245      4      0 
    1    283     63     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    287     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    287     64     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    304     69     73     98     31      0      0      0      0   1512   1395   2253      4      0 
    1    284     64     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    298     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    299     64     67     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    307     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    290     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    289     69     73     97     32      0      0      0      0   1512   1395   2245      4      0 
    1    272     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    284     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    277     65     69     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    305     70     73     98     31      0      0      0      0   1512   1395   2253      4      0 
    1    285     65     69     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    291     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    288     66     69     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    284     69     73     98     31      0      0      0      0   1512   1395   2253      4      0 
    1    284     66     69     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    307     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    276     66     69     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    302     70     73     98     32      0      0      0      0   1512   1395   2253      4      0 
    1    289     66     69     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    304     70     73     98     32      0      0      0      0   1512   1395   2253      4      0 
