# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     77     55     59      0      0      0      0      0      0   1512   1410      0      1      0 
    1    275     66     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    210     57     59     89     18      0      0      0      0   1512   1410   1577      4      0 
    1    279     66     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    205     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    266     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    207     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    269     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    208     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    272     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    207     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    276     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    205     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    276     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    204     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    280     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    209     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    275     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    207     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    275     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    213     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    279     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    206     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    271     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    210     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    269     66     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    205     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    281     66     71     99     42      0      0      0      0   1512   1410   1889      4      0 
    0    207     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    277     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    210     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    277     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    205     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    276     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    210     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    273     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    207     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    263     64     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    207     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    279     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    210     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    273     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    209     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    274     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    208     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    272     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    208     56     59     88     18      0      0      0      0   1512   1410   1575      4      0 
    1    281     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    207     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    273     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    212     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    267     66     71     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    207     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    281     66     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    208     57     59     88     18      0      0      0      0   1512   1410   1575      4      0 
    1    275     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    212     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    279     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    212     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    274     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    208     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    278     64     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    212     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    269     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    209     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    273     66     71     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    206     57     59     88     18      0      0      0      0   1512   1410   1575      4      0 
    1    284     66     71     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    207     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    276     66     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    208     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    276     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    211     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    277     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    206     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    271     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    209     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    273     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    210     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    274     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    207     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    278     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    209     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    277     66     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    204     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    270     66     71     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    210     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    276     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    207     57     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    281     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    208     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    273     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    202     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    276     64     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    212     56     59     88     18      0      0      0      0   1512   1410   1577      4      0 
    1    273     64     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    236     57     59     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    280     66     69     98     40      0      0      0      0   1512   1410   1889      4      0 
    0    234     58     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    276     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    238     58     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    275     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    234     58     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    274     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    237     58     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    274     64     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    234     58     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    274     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    236     59     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    272     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    242     59     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    280     65     69     73     30      0      0      0      0   1512   1410   1889      4      0 
    0    237     59     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    275     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    238     59     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    277     65     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    241     59     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    271     64     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    241     59     61     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    279     64     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    238     60     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    270     66     69     99     40      0      0      0      0   1512   1410   1889      4      0 
    0    242     60     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    273     66     71     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    238     60     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    274     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    240     60     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    272     61     65      8      3      0      0      0      0   1512   1410   1889      4      0 
    0    242     61     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    275     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    242     61     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    280     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    238     61     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    277     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    239     61     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    268     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    243     60     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    276     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    241     60     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    280     64     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    241     60     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    271     64     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    239     61     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    277     65     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    241     61     65     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    271     66     71     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    238     61     63     99     22      0      0      0      0   1512   1410   1571      4      0 
    1    278     66     69     99     41      0      0      0      0   1512   1410   1889      4      0 
    0    241     61     63     99     22      0      0      0      0   1512   1410   1571      4      0 
