# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     62     34     37      -      -      -      -      -      -   1512   1410      0      1      0 
    1    158     63     67     50     23      0      0      0      0   1512   1410  10741      4      0 
    0     43     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    163     63     69     52     24      0      0      0      0   1512   1410  10741      4      0 
    0     41     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    171     64     69     57     24      0      0      0      0   1512   1410  10741      4      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1     84     62     65      0      0      0      0      0      0   1512   1410  10741      4      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    250     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    257     66     71    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    238     65     69    100     32      0      0      0      0   1512   1410  12848      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    210     65     69    100     30      0      0      0      0   1512   1410  12848      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    234     64     69    100     30      0      0      0      0   1512   1410  12848      6      0 
    0     41     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    249     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    260     66     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     42     33     37      -      -      -      -      -      -   1512    210      0      1      0 
    1    247     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    255     64     69    100     32      0      0      0      0   1512   1410  12848      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    254     64     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    255     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    225     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    244     64     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    235     64     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    253     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    254     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    249     64     69    100     30      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    235     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    247     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    253     64     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    291     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    237     65     69    100     30      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    220     65     69    100     32      0      0      0      0   1512   1410  12856      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    225     64     69    100     32      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    221     64     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    226     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    225     65     69    100     30      0      0      0      0   1512   1410  12856      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    246     65     69    100     32      0      0      0      0   1512   1410  12856      6      0 
    0     40     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    250     64     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    219     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    260     65     69    100     30      0      0      0      0   1512   1410  12848      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    219     64     69    100     34      0      0      0      0   1512   1410  12856      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    217     65     69    100     33      0      0      0      0   1512   1410  12848      6      0 
    0     40     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    217     65     69    100     32      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    218     65     69    100     32      0      0      0      0   1512   1410  12848      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    286     66     69     98     31      0      0      0      0   1512   1365  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    220     65     69    100     33      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    238     65     69    100     34      0      0      0      0   1512   1410  12856      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    245     64     69    100     32      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    216     64     69    100     32      0      0      0      0   1512   1410  12848      6      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    223     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     41     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    213     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    262     64     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    239     64     69    100     32      0      0      0      0   1512   1410  12856      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    243     64     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    255     65     69    100     33      0      0      0      0   1512   1410  12856      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    255     65     69    100     33      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    241     64     69    100     34      0      0      0      0   1512   1410  12856      6      0 
    0     42     32     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    215     65     69    100     32      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    265     66     69    100     32      0      0      0      0   1512   1410  12848      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    255     64     69    100     33      0      0      0      0   1512   1410  12848      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    216     65     69    100     34      0      0      0      0   1512   1410  12856      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    241     65     69    100     33      0      0      0      0   1512   1410  12848      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    249     65     69    100     32      0      0      0      0   1512   1410  12856      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    250     64     69    100     33      0      0      0      0   1512   1410  12856      6      0 
    0     40     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    234     65     69    100     34      0      0      0      0   1512   1410  12856      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    218     65     69    100     32      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    239     64     69    100     32      0      0      0      0   1512   1410  12856      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    244     65     69    100     30      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    247     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    238     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    265     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    248     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    234     65     69    100     30      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    226     64     69    100     30      0      0      0      0   1512   1410  12848      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    250     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    232     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    217     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    236     64     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    259     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    221     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    220     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    247     65     69    100     30      0      0      0      0   1512   1410  12848      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    236     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    250     64     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    233     64     69    100     30      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    226     65     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    234     65     69    100     31      0      0      0      0   1512   1410  12856      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    244     64     69    100     31      0      0      0      0   1512   1410  12848      6      0 
    0     41     31     35      -      -      -      -      -      -   1512    210      0      1      0 
    1    246     64     69    100     30      0      0      0      0   1512   1410  12856      6      0 
    0     42     31     35      -      -      -      -      -      -   1512    210      0      1      0 
