# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    306     66     69     79     26      0      0      0      0   1512   1410   2245      4      0 
    1     72     50     53      0      0      0      0      0      0   1512   1410      0      1      0 
    0    283     67     71     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    254     53     55     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    304     67     71     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    280     55     59     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    305     68     71     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    282     56     59     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    283     68     71     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    285     57     61     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    286     69     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    273     59     61     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    279     69     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    270     59     63     97     28      0      0      0      0   1512   1410   1913      4      0 
    0    306     69     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    288     60     63     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    293     69     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    276     61     63     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    306     69     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    264     62     65     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    292     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    273     62     65     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    307     70     73     98     31      0      0      0      0   1512   1395   2253      4      0 
    1    272     63     65     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    296     70     73     97     31      0      0      0      0   1512   1395   2245      4      0 
    1    285     63     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    292     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    275     64     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    308     69     73     97     31      0      0      0      0   1512   1395   2245      4      0 
    1    292     64     67     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    300     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    279     64     67     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    306     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    280     64     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    303     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    281     65     67     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    286     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    283     65     69     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    307     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    293     65     69     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    300     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    290     65     69     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    311     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    288     66     69     97     28      0      0      0      0   1512   1410   1919      4      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    298     69     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    285     66     69     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    290     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    277     66     69     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    290     69     73     97     32      0      0      0      0   1512   1395   2245      4      0 
    1    287     66     69     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    308     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    282     66     69     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    286     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    277     67     69     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    307     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    293     67     69     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    287     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    280     67     69     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    288     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    296     67     71     96     28      0      0      0      0   1512   1410   1913      4      0 
    0    304     70     73     98     32      0      0      0      0   1512   1395   2253      4      0 
    1    278     67     71     97     28      0      0      0      0   1512   1410   1913      4      0 
    0    295     69     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    293     67     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    307     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    293     67     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    295     69     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    293     67     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    288     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    302     67     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    307     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    305     67     71     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    293     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    290     67     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    284     69     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    305     68     71     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    301     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    304     68     71     97     28      0      0      0      0   1512   1410   1913      4      0 
    0    295     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    294     68     71     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    304     70     73     98     31      0      0      0      0   1512   1395   2253      4      0 
    1    304     68     71     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    290     69     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    303     68     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    304     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    299     68     71     97     28      0      0      0      0   1512   1410   1913      4      0 
    0    305     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    289     68     71     97     28      0      0      0      0   1512   1410   1919      4      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    284     70     73     98     31      0      0      0      0   1512   1395   2253      4      0 
    1    296     68     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    295     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    294     68     71     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    306     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    285     69     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    298     70     73     98     31      0      0      0      0   1512   1395   2253      4      0 
    1    291     68     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    291     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    288     68     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    306     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    292     69     71     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    289     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    303     68     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    311     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    303     68     71     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    301     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    273     69     71     97     28      0      0      0      0   1512   1395   1919      4      0 
    0    296     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    290     69     71     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    307     69     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    291     68     71     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    284     70     73     98     32      0      0      0      0   1512   1395   2245      4      0 
    1    298     69     71     96     28      0      0      0      0   1512   1410   1919      4      0 
    0    302     70     73     98     31      0      0      0      0   1512   1395   2245      4      0 
    1    295     69     71     97     28      0      0      0      0   1512   1410   1919      4      0 
    0    297     69     73     98     32      0      0      0      0   1512   1395   2245      4      0 
